id,titlu,categorie,status,functionalitate_iconta,posibil_duplicat_sens
GH-00001,Care este plafonul pentru microîntreprinderi în 2026?,altele,candidat,,nu
GH-00002,Cât este impozitul pe veniturile microîntreprinderilor în 2026?,altele,candidat,,nu
GH-00003,Cum se calculează impozitul micro de 1% în 2026?,micro,candidat,,nu
GH-00004,Ce condiții trebuie să îndeplinească un SRL pentru a fi microîntreprindere în 2026?,altele,candidat,,nu
GH-00005,Când trece o microîntreprindere la impozit pe profit în 2026?,profit,candidat,,nu
GH-00006,Ce se întâmplă dacă o microîntreprindere depășește plafonul de 100.000 euro în 2026?,altele,candidat,,nu
GH-00007,Cum se calculează plafonul de 100.000 euro pentru microîntreprinderi?,altele,candidat,,nu
GH-00008,La ce curs valutar se calculează plafonul micro în 2026?,casierie,candidat,,nu
GH-00009,Din ce trimestru trece un SRL la impozit pe profit după depășirea plafonului micro?,profit,candidat,,nu
GH-00010,Se mai poate aplica impozitul micro de 1% fără salariați în 2026?,salarizare,candidat,,nu
GH-00011,Câți salariați trebuie să aibă o microîntreprindere în 2026?,salarizare,candidat,,nu
GH-00012,Poate un SRL nou înființat să fie microîntreprindere în 2026?,infiintare,candidat,,nu
GH-00013,Ce termen are un SRL nou pentru angajarea unui salariat ca să rămână micro?,salarizare,candidat,,nu
GH-00014,Ce se întâmplă cu regimul micro dacă singurul salariat demisionează?,salarizare,candidat,,nu
GH-00015,Cât timp are o microîntreprindere să angajeze alt salariat după o demisie?,salarizare,candidat,,nu
GH-00016,Poate administratorul cu contract de mandat să îndeplinească condiția de salariat pentru micro?,salarizare,candidat,,nu
GH-00017,Contractul de administrare este suficient pentru impozitul micro de 1%?,micro,candidat,,nu
GH-00018,Un contract de muncă part-time este suficient pentru regimul micro în 2026?,micro,candidat,,nu
GH-00019,Pot mai multe contracte part-time să îndeplinească condiția de salariat pentru micro?,salarizare,candidat,,nu
GH-00020,Ce se întâmplă cu impozitul micro dacă salariatul intră în concediu fără plată?,salarizare,candidat,,nu
GH-00021,Concediul medical al singurului salariat afectează regimul micro?,salarizare,candidat,,nu
GH-00022,Concediul de maternitate al singurului salariat afectează condiția pentru micro?,salarizare,candidat,,nu
GH-00023,Suspendarea contractului de muncă duce la pierderea regimului micro?,micro,candidat,,nu
GH-00024,Când pierde un SRL regimul de microîntreprindere?,altele,candidat,,nu
GH-00025,Poate un SRL reveni la impozit micro după ce a trecut la impozit pe profit?,profit,candidat,,nu
GH-00026,Se poate reveni de la impozit pe profit la micro în 2026?,profit,candidat,,nu
GH-00027,Poate o firmă care a fost micro în trecut să mai aplice regimul micro?,micro,candidat,,nu
GH-00028,Cum se verifică dacă o firmă poate aplica impozitul micro în 2026?,micro,candidat,,nu
GH-00029,Ce venituri intră în plafonul de 100.000 euro pentru microîntreprinderi?,altele,candidat,,nu
GH-00030,Ce venituri nu intră în plafonul micro?,micro,candidat,,nu
GH-00031,Veniturile din diferențe de curs valutar intră în plafonul micro?,casierie,candidat,,nu
GH-00032,Veniturile din dobânzi intră în plafonul micro?,micro,candidat,,nu
GH-00033,Veniturile din dividende intră în plafonul micro?,declaratii_speciale,candidat,,nu
GH-00034,Veniturile din subvenții intră în plafonul micro?,micro,candidat,,nu
GH-00035,Veniturile din despăgubiri intră în plafonul micro?,micro,candidat,,nu
GH-00036,Veniturile din vânzarea mijloacelor fixe intră în plafonul micro?,micro,candidat,,nu
GH-00037,Veniturile din vânzarea unui autoturism intră în plafonul micro?,micro,candidat,,nu
GH-00038,Veniturile din cedarea activelor intră în baza impozabilă micro?,micro,candidat,,nu
GH-00039,Veniturile din producția de imobilizări intră în plafonul micro?,micro,candidat,,nu
GH-00040,Reducerea comercială primită afectează baza de calcul a impozitului micro?,micro,candidat,,nu
GH-00041,Stornarea unei facturi afectează plafonul micro?,micro,candidat,,nu
GH-00042,O factură stornată în trimestrul următor modifică impozitul micro?,micro,candidat,,nu
GH-00043,Avansurile facturate intră în plafonul micro?,micro,candidat,,nu
GH-00044,Avansurile încasate fără factură intră în plafonul micro?,micro,candidat,,nu
GH-00045,Facturile neîncasate intră în calculul impozitului micro?,micro,candidat,,nu
GH-00046,Impozitul micro se calculează la facturat sau la încasat?,micro,candidat,,nu
GH-00047,TVA-ul intră în plafonul de 100.000 euro pentru microîntreprinderi?,tva,candidat,,nu
GH-00048,TVA-ul intră în baza de calcul a impozitului micro?,tva,candidat,,nu
GH-00049,Cum calculează o firmă neplătitoare de TVA plafonul micro?,tva,candidat,,nu
GH-00050,Cum calculează o firmă plătitoare de TVA plafonul micro?,tva,candidat,,nu
GH-00051,Regimul TVA la încasare influențează calculul impozitului micro?,tva,candidat,,nu
GH-00052,Trecerea la TVA modifică regimul de impozitare micro?,tva,candidat,,nu
GH-00053,Depășirea plafonului de TVA înseamnă și ieșirea din regimul micro?,tva,candidat,,nu
GH-00054,Care este diferența dintre plafonul TVA și plafonul micro în 2026?,tva,candidat,,da
GH-00055,Poate o microîntreprindere să fie plătitoare de TVA?,tva,candidat,,nu
GH-00056,Poate o microîntreprindere să aplice TVA la încasare?,tva,candidat,,nu
GH-00057,Poate o microîntreprindere să aibă TVA trimestrial?,tva,candidat,,nu
GH-00058,Trecerea de la TVA trimestrial la TVA lunar afectează impozitul micro?,tva,candidat,,nu
GH-00059,O achiziție intracomunitară schimbă perioada fiscală TVA fără să afecteze regimul micro?,ic_ue,candidat,,nu
GH-00060,Veniturile din servicii intracomunitare intră în plafonul micro?,ic_ue,candidat,,nu
GH-00061,Veniturile din export intră în plafonul micro?,micro,candidat,,nu
GH-00062,Veniturile din livrări intracomunitare intră în plafonul micro?,ic_ue,candidat,,nu
GH-00063,Veniturile facturate către clienți din UE intră în plafonul micro?,micro,candidat,,nu
GH-00064,Veniturile facturate către clienți din afara UE intră în plafonul micro?,micro,candidat,,nu
GH-00065,Cum se calculează impozitul micro pentru venituri în valută?,casierie,candidat,,nu
GH-00066,Ce curs valutar se folosește pentru veniturile în valută la impozitul micro?,casierie,candidat,,nu
GH-00067,Diferențele de curs pot determina depășirea plafonului micro?,micro,candidat,,nu
GH-00068,Cum se calculează impozitul micro trimestrial?,micro,candidat,,nu
GH-00069,Care este termenul de plată pentru impozitul micro în 2026?,micro,candidat,,nu
GH-00070,Ce declarație se depune pentru impozitul micro?,micro,candidat,,nu
GH-00071,Cum se declară impozitul micro în D100?,micro,candidat,,nu
GH-00072,Care este termenul pentru D100 la microîntreprinderi?,control_fiscal,candidat,,nu
GH-00073,Ce cod de obligație se folosește în D100 pentru impozitul micro?,micro,candidat,,nu
GH-00074,Cum se corectează impozitul micro declarat greșit în D100?,micro,candidat,,nu
GH-00075,Cum se depune o declarație rectificativă pentru impozitul micro?,micro,candidat,,nu
GH-00076,Ce faci dacă ai calculat greșit impozitul micro într-un trimestru anterior?,micro,candidat,,nu
GH-00077,Ce faci dacă ai omis venituri din calculul impozitului micro?,micro,candidat,,nu
GH-00078,Ce faci dacă ai inclus greșit venituri în baza impozabilă micro?,micro,candidat,,nu
GH-00079,Cum corectezi impozitul micro după stornarea unei facturi?,micro,candidat,,nu
GH-00080,Se plătesc dobânzi și penalități pentru impozitul micro declarat cu întârziere?,micro,candidat,,nu
GH-00081,Ce penalități apar dacă nu plătești impozitul micro la termen?,micro,candidat,,nu
GH-00082,Ce se întâmplă dacă depui D100 după termen?,control_fiscal,candidat,,nu
GH-00083,Cum verifici în SPV dacă impozitul micro a fost declarat corect?,spv,candidat,,nu
GH-00084,Cum verifici în fișa pe plătitor impozitul micro datorat?,micro,candidat,,nu
GH-00085,De ce apare diferență între impozitul micro din contabilitate și D100?,micro,candidat,,nu
GH-00086,Cum reconciliezi impozitul micro cu balanța contabilă?,micro,candidat,,nu
GH-00087,Ce cont contabil se folosește pentru impozitul micro?,micro,candidat,,nu
GH-00088,Care este monografia contabilă pentru impozitul micro?,micro,candidat,,nu
GH-00089,Cum se înregistrează plata impozitului micro în contabilitate?,micro,candidat,,nu
GH-00090,Cum se înregistrează diferențele de impozit micro după rectificare?,micro,candidat,,nu
GH-00091,Ce sold trebuie să aibă contul de impozit micro la sfârșitul trimestrului?,micro,candidat,,nu
GH-00092,Cum verifici baza de calcul a impozitului micro din balanță?,micro,candidat,,nu
GH-00093,Ce conturi de venit se includ în baza impozabilă micro?,micro,candidat,,nu
GH-00094,Ce conturi de venit se exclud din baza impozabilă micro?,micro,candidat,,nu
GH-00095,Cum verifici plafonul micro direct din balanță?,micro,candidat,,nu
GH-00096,Cum urmărești lunar apropierea de plafonul micro?,micro,candidat,,nu
GH-00097,Cum estimezi când va depăși firma plafonul de 100.000 euro?,altele,candidat,,nu
GH-00098,Ce trebuie făcut înainte ca firma să depășească plafonul micro?,micro,candidat,,nu
GH-00099,Ce obligații apar imediat după depășirea plafonului micro?,micro,candidat,,nu
GH-00100,Cum calculezi impozitul în trimestrul în care depășești plafonul micro?,micro,candidat,,nu
GH-00101,Se recalculează impozitul micro pentru trimestrele anterioare după depășirea plafonului?,micro,candidat,,nu
GH-00102,Impozitul pe profit se calculează pentru tot anul după ieșirea din regimul micro?,profit,candidat,,nu
GH-00103,Cum se separă perioada micro de perioada de impozit pe profit în același an?,profit,candidat,,nu
GH-00104,Ce cheltuieli devin importante când firma trece de la micro la profit?,micro,candidat,,nu
GH-00105,Ce se întâmplă cu pierderea fiscală după trecerea de la micro la profit?,profit,candidat,,nu
GH-00106,Poate o microîntreprindere să înregistreze pierdere fiscală?,profit,candidat,,nu
GH-00107,Cum se calculează rezultatul fiscal după ieșirea din regimul micro?,micro,candidat,,nu
GH-00108,Ce declarații trebuie depuse când firma trece de la micro la profit?,micro,candidat,,nu
GH-00109,Trebuie depusă D700 la ieșirea din regimul micro?,micro,candidat,,nu
GH-00110,În cât timp se declară la ANAF trecerea de la micro la profit?,micro,candidat,,nu
GH-00111,Cum se completează D700 pentru trecerea de la micro la impozit pe profit?,profit,candidat,,nu
GH-00112,Ce dată se trece în D700 la ieșirea din regimul micro?,micro,candidat,,nu
GH-00113,Ce faci dacă ai depus D700 cu data greșită pentru ieșirea din regimul micro?,micro,candidat,,nu
GH-00114,Cum verifici în vectorul fiscal dacă firma este micro sau plătitoare de impozit pe profit?,profit,candidat,,nu
GH-00115,Ce faci dacă vectorul fiscal ANAF arată greșit regimul de impozitare?,greseli,candidat,,nu
GH-00116,Poate ANAF să modifice din oficiu regimul fiscal al unei microîntreprinderi?,altele,candidat,,nu
GH-00117,Ce documente trebuie păstrate pentru justificarea regimului micro?,micro,candidat,,nu
GH-00118,Ce verifică ANAF la o microîntreprindere?,altele,candidat,,nu
GH-00119,Cum demonstrezi la control că ai respectat plafonul micro?,micro,candidat,,nu
GH-00120,Ce riscuri fiscale există dacă firma a aplicat micro fără să îndeplinească toate condițiile?,micro,candidat,,nu
GH-00121,"Ce se întâmplă dacă firma trebuia să fie pe profit, dar a continuat să plătească impozit micro?",micro,candidat,,nu
GH-00122,Cum se corectează retroactiv aplicarea greșită a regimului micro?,micro,candidat,,nu
GH-00123,Cum calculezi diferențele de impozit dacă ai aplicat greșit regimul micro?,micro,candidat,,nu
GH-00124,Se datorează accesorii dacă firma a aplicat nejustificat impozitul micro?,micro,candidat,,nu
GH-00125,Ce se întâmplă dacă firma a plătit impozit pe profit deși putea fi micro?,profit,candidat,,nu
